"hSeedTeam","lSeedTeam","hSeed","lSeed","CURRENT ROUND","hSeed_won","year","Pred_Prob","Pred_Win","Correct","Actual_Result"
"Purdue","Little Rock",5,12,64,0,2016,0.7035,1,0,"Upset"
"Iowa St.","Iona",4,13,64,1,2016,0.9425,1,1,"Favored Won"
"Seton Hall","Gonzaga",6,11,64,0,2016,0.1289,0,1,"Upset"
"Utah","Fresno St.",3,14,64,1,2016,0.8115,1,1,"Favored Won"
"Dayton","Syracuse",7,10,64,0,2016,0.2605,0,1,"Upset"
"Michigan St.","Middle Tennessee",2,15,64,0,2016,0.9599,1,0,"Upset"
"Kansas","Connecticut",1,9,32,1,2016,0.5606,1,1,"Favored Won"
"Maryland","Hawaii",5,13,32,1,2016,0.7424,1,1,"Favored Won"
"Miami FL","Wichita St.",3,11,32,1,2016,0.8978,1,1,"Favored Won"
"Villanova","Iowa",2,7,32,1,2016,0.9231,1,1,"Favored Won"
"Oregon","Saint Joseph's",1,8,32,1,2016,0.7246,1,1,"Favored Won"
"Duke","Yale",4,12,32,1,2016,0.8661,1,1,"Favored Won"
"Texas A&M","Northern Iowa",3,11,32,1,2016,0.8863,1,1,"Favored Won"
"Oklahoma","VCU",2,10,32,1,2016,0.8973,1,1,"Favored Won"
"North Carolina","Providence",1,9,32,1,2016,0.9222,1,1,"Favored Won"
"Kentucky","Indiana",4,5,32,0,2016,0.7044,1,0,"Upset"
"Notre Dame","Stephen F. Austin",6,14,32,1,2016,0.5223,0,0,"Favored Won"
"Xavier","Wisconsin",2,7,32,0,2016,0.9002,1,0,"Upset"
"Virginia","Butler",1,9,32,1,2016,0.5978,1,1,"Favored Won"
"Iowa St.","Little Rock",4,12,32,1,2016,0.7826,1,1,"Favored Won"
"Utah","Gonzaga",3,11,32,0,2016,0.2725,0,1,"Upset"
"Syracuse","Middle Tennessee",10,15,32,1,2016,0.8909,1,1,"Favored Won"
"Kansas","Maryland",1,5,16,1,2016,0.9113,1,1,"Favored Won"
"Villanova","Miami FL",2,3,16,1,2016,0.6265,1,1,"Favored Won"
"Oregon","Duke",1,4,16,1,2016,0.685,1,1,"Favored Won"
"Oklahoma","Texas A&M",2,3,16,1,2016,0.6172,1,1,"Favored Won"
"North Carolina","Indiana",1,5,16,1,2016,0.9293,1,1,"Favored Won"
"Notre Dame","Wisconsin",6,7,16,1,2016,0.4183,0,0,"Favored Won"
"Virginia","Iowa St.",1,4,16,1,2016,0.3374,0,0,"Favored Won"
"Syracuse","Gonzaga",10,11,16,1,2016,0.7232,1,1,"Favored Won"
"Kansas","Villanova",1,2,8,0,2016,0.351,0,1,"Upset"
"Oregon","Oklahoma",1,2,8,0,2016,0.738,1,0,"Upset"
"North Carolina","Notre Dame",1,6,8,1,2016,0.9469,1,1,"Favored Won"
"Virginia","Syracuse",1,10,8,0,2016,0.5275,0,1,"Upset"
